evidence_id,official_url,official_section,official_location,evidence_paraphrase,supports,access_date
RMC_MODEL_BASED_AND_SOURCE_MIX,https://ec.europa.eu/eurostat/cache/metadata/en/env_ac_rme_esms.htm,3.1 Data description,lines 146–167,env_ac_rme provides model-based RME estimates; individual-country estimates are either reported by national statistical institutes or estimated by Eurostat.,country-reported versus Eurostat-estimated RMC,2026-08-12
RMC_PYTHON_TOOL,https://ec.europa.eu/eurostat/cache/metadata/en/env_ac_rme_esms.htm,3.2 Classification system,lines 173–181,"For countries that do not report, Eurostat includes country estimates produced with the Python country RME tool.",Python country RME tool and non-reporter treatment,2026-08-12
RMC_REPORTING_VOLUNTARY,https://ec.europa.eu/eurostat/cache/metadata/en/env_ac_rme_esms.htm,6.1 Institutional mandate,lines 254–256,Country MFA-RME reporting is voluntary; Eurostat also performs country-level model estimations.,reporting status context,2026-08-12
RMC_RELEASE_SPLIT,https://ec.europa.eu/eurostat/cache/metadata/en/env_ac_rme_esms.htm,8.1 Release calendar,lines 276–281,Country env_ac_rme data are updated in July for country-reported data and in November for Eurostat estimates.,country-reported versus Eurostat-estimated update route,2026-08-12
RMC_NOT_DIRECTLY_OBSERVABLE,https://ec.europa.eu/eurostat/cache/metadata/en/env_ac_rme_esms.htm,13.1 Accuracy - overall,line 371,"RMC estimates are not directly observable; assumptions and modelling techniques determine results, and Eurostat country estimates use the Python tool.",model dependence,2026-08-12
RMC_GEO_COMPARABILITY,https://ec.europa.eu/eurostat/cache/metadata/en/env_ac_rme_esms.htm,15.1 Comparability - geographical,lines 392–393,"Eurostat-produced estimates and country data using Eurostat’s tool have harmonized methodologies, while country-specific models can hamper cross-country comparability; average EU RME coefficients may be suboptimal especially for smaller economies.",geographical comparability and smaller-economy warning,2026-08-12
RMC_TIME_COMPARABILITY,https://ec.europa.eu/eurostat/cache/metadata/en/env_ac_rme_esms.htm,15.2 Comparability - over time,lines 394–397,Country-level comparison over time is considered good and explicitly better than cross-country comparability.,over-time versus cross-country comparability,2026-08-12
RMC_HALF_COUNTRY_REPORTED,https://ec.europa.eu/eurostat/cache/metadata/en/env_ac_rme_esms.htm,15.4 Coherence - internal,line 405,The dataset includes country-reported estimates for about half of Member States; Eurostat country estimates are benchmarked to the EU model.,mixed provenance in disseminated country data,2026-08-12
RMC_COUNTRY_MODEL_OPTIONS,https://ec.europa.eu/eurostat/cache/metadata/en/env_ac_rme_esms.htm,18.1 and 18.5 Statistical processing,lines 437–460,"Eurostat country estimates use the Python tool, while countries may use Eurostat’s country RME tool or a country-specific model.",Eurostat tool versus own national models,2026-08-12
RMC_PUBLIC_TOOL_SET,https://ec.europa.eu/eurostat/cache/metadata/en/env_ac_rme_esms.htm,19 Comment,line 470,"Eurostat publishes a country RME tool, handbook and input-data file to facilitate country-level RME compilation.",public tool availability,2026-08-12
HANDBOOK_PUBLIC_SET,https://ec.europa.eu/eurostat/documents/1798247/6874172/Handbook-country-RME-tool,Preface,"page 2, lines 10–19","The published country-tool package is a combined handbook, Excel-based tool and auxiliary data pool.",public Excel-tool route,2026-08-12
HANDBOOK_HARMONIZED_AIM,https://ec.europa.eu/eurostat/documents/1798247/6874172/Handbook-country-RME-tool,2.1 General remarks,"page 7, lines 171–177",The country tool was designed to comply with EU-model concepts/methods/data and to provide a harmonized approach for Member States.,common-tool harmonization intent,2026-08-12
HANDBOOK_PYTHON_DIFFERENCES,https://ec.europa.eu/eurostat/documents/1798247/6874172/Handbook-country-RME-tool,2.4 Eurostat estimates at country level,"pages 9–10, lines 265–330","The Python tool follows the handbook but differs from the Excel route through FIGARO-based trade inputs, whole-EU calibration and several additional adjustments.",Python and public Excel tool are not byte-for-byte/method-identical routes,2026-08-12
HANDBOOK_INPUT_LIMITATION,https://ec.europa.eu/eurostat/documents/1798247/6874172/Handbook-country-RME-tool,3 Data input to the model,"page 12, lines 397–408","The public data pool contains most inputs, but model-specific Comext data in the RME182 classification and its conversion procedure are available on request from Eurostat.",exact public common-method reconstruction feasibility,2026-08-12
OBS_STATUS_I,https://ec.europa.eu/eurostat/data/database?node_code=aact_eaa01,Observation status code list,current Obs_status table,Code i means value imputed by Eurostat or other receiving agencies; it is a generic observation-status code.,status-flag interpretation,2026-08-12
OBS_STATUS_OLD_S,https://ec.europa.eu/eurostat/data/database?node_code=aact_eaa01,Change of previous codes,current code-list transition table,"The former s code (Eurostat estimate) was changed to i, whose current definition is broader than Eurostat-only estimation.",why i alone cannot identify an RMC production method,2026-08-12
GHG_COMMON_METHOD,https://ec.europa.eu/eurostat/cache/metadata/en/env_ac_ghgfp_esms.htm,15.1 Comparability - geographical,current reference metadata,"The GHG-footprint model applies the same method to all countries, although some non-European input emissions are themselves estimated by Eurostat and are less accurate.",GHG cross-country procedural consistency and residual model limitations,2026-08-12
GHG_TIME_REESTIMATION,https://ec.europa.eu/eurostat/cache/metadata/en/env_ac_ghgfp_esms.htm,15.2 Comparability - over time,current reference metadata,The same method and data sources are applied to all reference years and the complete footprint time series is re-estimated each year.,GHG time-series comparability and revision practice,2026-08-12
GHG_LEONTIEF_FIGARO,https://ec.europa.eu/eurostat/web/environment/database,Environmental footprints based on FIGARO,Greenhouse gas footprint background information,GHG footprints are estimated with Leontief-type modelling using air-emissions accounts/Eurostat estimates and FIGARO inter-country input-output tables.,GHG model dependence,2026-08-12
FIGARO_REVISION,https://ec.europa.eu/eurostat/cache/metadata/en/naio_10_fcp_esms.htm,15.2 and 17 Data revision,current FIGARO reference metadata,FIGARO provides a consistent annual series from 2010 and has historically revised the full available time series with new releases.,FIGARO revision/re-estimation context,2026-08-12
