panel,record_type,geo,provenance_group,material_measure,territorial_ghg,consumption_ghg,full_grid_range,n_countries,countries,disseminated_source_regime,documented_estimation_method,documented_coverage,official_evidence_source,official_evidence_locator,confidence,interpretation
A_country_registry,country_registry,AT,,,,,,1,AT,Mixed/changed over 2010–2023,Mixed or changed; documented national method for part of coverage and/or Eurostat estimate route for other years,2008–2022 reported; method changed in 2025,https://ec.europa.eu/eurostat/cache/metadata/EN/env_ac_mfa_simsmf_at.htm,"National SIMS metadata: Table I reported-year coverage and available compilation-method statement; central env_ac_rme metadata sections 3.2, 15.1 and 18.5 for mixed reporting/Eurostat-estimate context",MEDIUM,Country-level registry entry; exact year-level production route is not inferred beyond official documentation.
A_country_registry,country_registry,BE,,,,,,1,BE,Mixed/changed over 2010–2023,"Mixed or changed; Eurostat country RME tool documented for part of coverage, with other years not fully specified",2008–2020 reported with Eurostat tool; later years mixed,https://ec.europa.eu/eurostat/cache/metadata/EN/env_ac_mfa_simsmf_be.htm,"National SIMS metadata: Table I reported-year coverage and available compilation-method statement; central env_ac_rme metadata sections 3.2, 15.1 and 18.5 for mixed reporting/Eurostat-estimate context",MEDIUM,Country-level registry entry; exact year-level production route is not inferred beyond official documentation.
A_country_registry,country_registry,BG,,,,,,1,BG,Eurostat-estimated,Python country RME tool (Eurostat estimate route),Table I not reported,https://ec.europa.eu/eurostat/cache/metadata/EN/env_ac_mfa_simsmf_bg.htm,National SIMS metadata: Table I non-reporting/compilation statement; central env_ac_rme metadata sections 3.2 and 18.5 for Eurostat non-reporter estimates,HIGH,Country-level registry entry; exact year-level production route is not inferred beyond official documentation.
A_country_registry,country_registry,CY,,,,,,1,CY,Mixed/changed over 2010–2023,"Mixed or changed; Eurostat country RME tool documented for part of coverage, with other years not fully specified",2008–2022 reported with Eurostat tool,https://ec.europa.eu/eurostat/cache/metadata/EN/env_ac_mfa_simsmf_cy.htm,"National SIMS metadata: Table I reported-year coverage and available compilation-method statement; central env_ac_rme metadata sections 3.2, 15.1 and 18.5 for mixed reporting/Eurostat-estimate context",MEDIUM,Country-level registry entry; exact year-level production route is not inferred beyond official documentation.
A_country_registry,country_registry,CZ,,,,,,1,CZ,Country-reported,Eurostat country RME tool,2008–2023 country-reported; Eurostat tool,https://ec.europa.eu/eurostat/cache/metadata/EN/env_ac_mfa_simsmf_cz.htm,National SIMS metadata: Table I coverage and country-RME-tool compilation-method statement; central env_ac_rme metadata sections 15.1 and 18.5,HIGH,Country-level registry entry; exact year-level production route is not inferred beyond official documentation.
A_country_registry,country_registry,DE,,,,,,1,DE,Country-reported,Country-specific model,2010–2023 country-reported; national model/data route,https://ec.europa.eu/eurostat/cache/metadata/EN/env_ac_mfa_simsmf_de.htm,National SIMS metadata: Table I coverage and country-specific compilation-method description; central env_ac_rme metadata section 15.1 on geographical comparability,MEDIUM,Country-level registry entry; exact year-level production route is not inferred beyond official documentation.
A_country_registry,country_registry,DK,,,,,,1,DK,Mixed/changed over 2010–2023,"Mixed or changed; Eurostat country RME tool documented for part of coverage, with other years not fully specified",reported only through 2019; historical method detail unresolved; later Eurostat route,https://ec.europa.eu/eurostat/cache/metadata/EN/env_ac_mfa_simsmf_dk.htm,"National SIMS metadata: Table I reported-year coverage and available compilation-method statement; central env_ac_rme metadata sections 3.2, 15.1 and 18.5 for mixed reporting/Eurostat-estimate context",MEDIUM,Country-level registry entry; exact year-level production route is not inferred beyond official documentation.
A_country_registry,country_registry,EE,,,,,,1,EE,Mixed/changed over 2010–2023,Not fully specified for all years,2008–2022 reported/Eurostat-tool based; 2023 different route,https://ec.europa.eu/eurostat/cache/metadata/EN/env_ac_mfa_simsmf_ee.htm,"National SIMS metadata: Table I reported-year coverage and available compilation-method statement; central env_ac_rme metadata sections 3.2, 15.1 and 18.5 for mixed reporting/Eurostat-estimate context",MEDIUM,Country-level registry entry; exact year-level production route is not inferred beyond official documentation.
A_country_registry,country_registry,EL,,,,,,1,EL,Eurostat-estimated,Python country RME tool (Eurostat estimate route),Table I not reported,https://ec.europa.eu/eurostat/cache/metadata/EN/env_ac_mfa_simsmf_el.htm,National SIMS metadata: Table I non-reporting/compilation statement; central env_ac_rme metadata sections 3.2 and 18.5 for Eurostat non-reporter estimates,HIGH,Country-level registry entry; exact year-level production route is not inferred beyond official documentation.
A_country_registry,country_registry,ES,,,,,,1,ES,Eurostat-estimated,Python country RME tool (Eurostat estimate route),Table I not reported in national metadata,https://ec.europa.eu/eurostat/cache/metadata/EN/env_ac_mfa_simsmf_es.htm,National SIMS metadata: Table I non-reporting/compilation statement; central env_ac_rme metadata sections 3.2 and 18.5 for Eurostat non-reporter estimates,MEDIUM,Country-level registry entry; exact year-level production route is not inferred beyond official documentation.
A_country_registry,country_registry,FI,,,,,,1,FI,Eurostat-estimated,Python country RME tool (Eurostat estimate route),Table I not reported,https://ec.europa.eu/eurostat/cache/metadata/EN/env_ac_mfa_simsmf_fi.htm,National SIMS metadata: Table I non-reporting/compilation statement; central env_ac_rme metadata sections 3.2 and 18.5 for Eurostat non-reporter estimates,HIGH,Country-level registry entry; exact year-level production route is not inferred beyond official documentation.
A_country_registry,country_registry,FR,,,,,,1,FR,Country-reported,Eurostat country RME tool,2008–2023 country-reported; Eurostat tool,https://ec.europa.eu/eurostat/cache/metadata/EN/env_ac_mfa_simsmf_fr.htm,National SIMS metadata: Table I coverage and country-RME-tool compilation-method statement; central env_ac_rme metadata sections 15.1 and 18.5,HIGH,Country-level registry entry; exact year-level production route is not inferred beyond official documentation.
A_country_registry,country_registry,HR,,,,,,1,HR,Eurostat-estimated,Python country RME tool (Eurostat estimate route),Eurostat-provided Table I,https://ec.europa.eu/eurostat/cache/metadata/EN/env_ac_mfa_simsmf_hr.htm,National SIMS metadata: Table I non-reporting/compilation statement; central env_ac_rme metadata sections 3.2 and 18.5 for Eurostat non-reporter estimates,MEDIUM,Country-level registry entry; exact year-level production route is not inferred beyond official documentation.
A_country_registry,country_registry,HU,,,,,,1,HU,Eurostat-estimated,Python country RME tool (Eurostat estimate route),Table I not reported,https://ec.europa.eu/eurostat/cache/metadata/EN/env_ac_mfa_simsmf_hu.htm,National SIMS metadata: Table I non-reporting/compilation statement; central env_ac_rme metadata sections 3.2 and 18.5 for Eurostat non-reporter estimates,HIGH,Country-level registry entry; exact year-level production route is not inferred beyond official documentation.
A_country_registry,country_registry,IE,,,,,,1,IE,Eurostat-estimated,Python country RME tool (Eurostat estimate route),Table I not compiled/reported,https://ec.europa.eu/eurostat/cache/metadata/EN/env_ac_mfa_simsmf_ie.htm,National SIMS metadata: Table I non-reporting/compilation statement; central env_ac_rme metadata sections 3.2 and 18.5 for Eurostat non-reporter estimates,HIGH,Country-level registry entry; exact year-level production route is not inferred beyond official documentation.
A_country_registry,country_registry,IT,,,,,,1,IT,Eurostat-estimated,Python country RME tool (Eurostat estimate route),Table I not compiled/reported,https://ec.europa.eu/eurostat/cache/metadata/EN/env_ac_mfa_simsmf_it.htm,National SIMS metadata: Table I non-reporting/compilation statement; central env_ac_rme metadata sections 3.2 and 18.5 for Eurostat non-reporter estimates,HIGH,Country-level registry entry; exact year-level production route is not inferred beyond official documentation.
A_country_registry,country_registry,LT,,,,,,1,LT,Country-reported,Eurostat country RME tool,2008–2023 country-reported; Eurostat tool,https://ec.europa.eu/eurostat/cache/metadata/EN/env_ac_mfa_simsmf_lt.htm,National SIMS metadata: Table I coverage and country-RME-tool compilation-method statement; central env_ac_rme metadata sections 15.1 and 18.5,HIGH,Country-level registry entry; exact year-level production route is not inferred beyond official documentation.
A_country_registry,country_registry,LU,,,,,,1,LU,Country-reported,Eurostat country RME tool,country-reported; Eurostat tool,https://ec.europa.eu/eurostat/cache/metadata/EN/env_ac_mfa_simsmf_lu.htm,National SIMS metadata: Table I coverage and country-RME-tool compilation-method statement; central env_ac_rme metadata sections 15.1 and 18.5,HIGH,Country-level registry entry; exact year-level production route is not inferred beyond official documentation.
A_country_registry,country_registry,LV,,,,,,1,LV,Mixed/changed over 2010–2023,"Mixed or changed; Eurostat country RME tool documented for part of coverage, with other years not fully specified",reported through 2012; later Eurostat estimates,https://ec.europa.eu/eurostat/cache/metadata/EN/env_ac_mfa_simsmf_lv.htm,"National SIMS metadata: Table I reported-year coverage and available compilation-method statement; central env_ac_rme metadata sections 3.2, 15.1 and 18.5 for mixed reporting/Eurostat-estimate context",HIGH,Country-level registry entry; exact year-level production route is not inferred beyond official documentation.
A_country_registry,country_registry,MT,,,,,,1,MT,Country-reported,Eurostat country RME tool,2008–2023 country-reported; Eurostat tool; no own model,https://ec.europa.eu/eurostat/cache/metadata/EN/env_ac_mfa_simsmf_mt.htm,National SIMS metadata: Table I coverage and country-RME-tool compilation-method statement; central env_ac_rme metadata sections 15.1 and 18.5,HIGH,Country-level registry entry; exact year-level production route is not inferred beyond official documentation.
A_country_registry,country_registry,NL,,,,,,1,NL,Mixed/changed over 2010–2023,Mixed or changed; documented national method for part of coverage and/or Eurostat estimate route for other years,reported subset uses own model; remaining years mixed with Eurostat route,https://ec.europa.eu/eurostat/cache/metadata/EN/env_ac_mfa_simsmf_nl.htm,"National SIMS metadata: Table I reported-year coverage and available compilation-method statement; central env_ac_rme metadata sections 3.2, 15.1 and 18.5 for mixed reporting/Eurostat-estimate context",HIGH,Country-level registry entry; exact year-level production route is not inferred beyond official documentation.
A_country_registry,country_registry,PL,,,,,,1,PL,Eurostat-estimated,Python country RME tool (Eurostat estimate route),Table I not reported,https://ec.europa.eu/eurostat/cache/metadata/EN/env_ac_mfa_simsmf_pl.htm,National SIMS metadata: Table I non-reporting/compilation statement; central env_ac_rme metadata sections 3.2 and 18.5 for Eurostat non-reporter estimates,HIGH,Country-level registry entry; exact year-level production route is not inferred beyond official documentation.
A_country_registry,country_registry,PT,,,,,,1,PT,Country-reported,Eurostat country RME tool,2008–2023 country-reported; Eurostat tool,https://ec.europa.eu/eurostat/cache/metadata/EN/env_ac_mfa_simsmf_pt.htm,National SIMS metadata: Table I coverage and country-RME-tool compilation-method statement; central env_ac_rme metadata sections 15.1 and 18.5,HIGH,Country-level registry entry; exact year-level production route is not inferred beyond official documentation.
A_country_registry,country_registry,RO,,,,,,1,RO,Country-reported,Eurostat country RME tool,2008–2023 country-reported; Eurostat tool with documented alterations,https://ec.europa.eu/eurostat/cache/metadata/EN/env_ac_mfa_simsmf_ro.htm,National SIMS metadata: Table I coverage and country-RME-tool compilation-method statement; central env_ac_rme metadata sections 15.1 and 18.5,MEDIUM,Country-level registry entry; exact year-level production route is not inferred beyond official documentation.
A_country_registry,country_registry,SE,,,,,,1,SE,Eurostat-estimated,Python country RME tool (Eurostat estimate route),Table I not reported,https://ec.europa.eu/eurostat/cache/metadata/EN/env_ac_mfa_simsmf_se.htm,National SIMS metadata: Table I non-reporting/compilation statement; central env_ac_rme metadata sections 3.2 and 18.5 for Eurostat non-reporter estimates,HIGH,Country-level registry entry; exact year-level production route is not inferred beyond official documentation.
A_country_registry,country_registry,SI,,,,,,1,SI,Country-reported,Eurostat country RME tool,2008–2023 country-reported; Eurostat tool,https://ec.europa.eu/eurostat/cache/metadata/EN/env_ac_mfa_simsmf_si.htm,National SIMS metadata: Table I coverage and country-RME-tool compilation-method statement; central env_ac_rme metadata sections 15.1 and 18.5,HIGH,Country-level registry entry; exact year-level production route is not inferred beyond official documentation.
A_country_registry,country_registry,SK,,,,,,1,SK,Eurostat-estimated,Python country RME tool (Eurostat estimate route),Table I not reported,https://ec.europa.eu/eurostat/cache/metadata/EN/env_ac_mfa_simsmf_sk.htm,National SIMS metadata: Table I non-reporting/compilation statement; central env_ac_rme metadata sections 3.2 and 18.5 for Eurostat non-reporter estimates,HIGH,Country-level registry entry; exact year-level production route is not inferred beyond official documentation.
B_rmc_provenance_sensitivity,n20_sensitivity,,,CMUR,-0.0210526315789473,-0.0270676691729323,0.8285714285714284,20,BG;HR;CZ;FI;FR;DE;EL;HU;IE;IT;LT;LU;MT;PL;PT;RO;SK;SI;ES;SE,,,,,,,"Provenance regime and country composition are confounded; this is a provenance/composition sensitivity, not a production-method effect."
B_rmc_provenance_sensitivity,n20_sensitivity,,,DMC,0.4676691729323308,0.4992481203007519,0.8285714285714284,20,BG;HR;CZ;FI;FR;DE;EL;HU;IE;IT;LT;LU;MT;PL;PT;RO;SK;SI;ES;SE,,,,,,,"Provenance regime and country composition are confounded; this is a provenance/composition sensitivity, not a production-method effect."
B_rmc_provenance_sensitivity,n20_sensitivity,,,RMC,0.7263157894736841,0.801503759398496,0.8285714285714284,20,BG;HR;CZ;FI;FR;DE;EL;HU;IE;IT;LT;LU;MT;PL;PT;RO;SK;SI;ES;SE,,,,,,,"Provenance regime and country composition are confounded; this is a provenance/composition sensitivity, not a production-method effect."
C_registry_groups,provenance_group_grid,,country-reported,CMUR,0.2666666666666666,0.0666666666666666,0.7000000000000001,9,CZ;FR;DE;LT;LU;MT;PT;RO;SI,Country-reported,,,,,,Group comparisons confound provenance regime with country composition and are not production-method effects.
C_registry_groups,provenance_group_grid,,country-reported,DMC,0.3166666666666666,0.3999999999999999,0.7000000000000001,9,CZ;FR;DE;LT;LU;MT;PT;RO;SI,Country-reported,,,,,,Group comparisons confound provenance regime with country composition and are not production-method effects.
C_registry_groups,provenance_group_grid,,country-reported,RMC,0.5833333333333334,0.7666666666666667,0.7000000000000001,9,CZ;FR;DE;LT;LU;MT;PT;RO;SI,Country-reported,,,,,,Group comparisons confound provenance regime with country composition and are not production-method effects.
C_registry_groups,provenance_group_grid,,Eurostat-estimated,CMUR,-0.2181818181818182,-0.1727272727272727,0.981818181818182,11,BG;HR;FI;EL;HU;IE;IT;PL;SK;ES;SE,Eurostat-estimated,,,,,,Group comparisons confound provenance regime with country composition and are not production-method effects.
C_registry_groups,provenance_group_grid,,Eurostat-estimated,DMC,0.6818181818181819,0.6181818181818182,0.981818181818182,11,BG;HR;FI;EL;HU;IE;IT;PL;SK;ES;SE,Eurostat-estimated,,,,,,Group comparisons confound provenance regime with country composition and are not production-method effects.
C_registry_groups,provenance_group_grid,,Eurostat-estimated,RMC,0.7636363636363637,0.7636363636363637,0.981818181818182,11,BG;HR;FI;EL;HU;IE;IT;PL;SK;ES;SE,Eurostat-estimated,,,,,,Group comparisons confound provenance regime with country composition and are not production-method effects.
C_registry_groups,provenance_group_grid,,mixed/changed,CMUR,0.3571428571428572,0.6071428571428572,0.7142857142857144,7,AT;BE;CY;DK;EE;LV;NL,Mixed/changed over 2010–2023,,,,,,Group comparisons confound provenance regime with country composition and are not production-method effects.
C_registry_groups,provenance_group_grid,,mixed/changed,DMC,0.1071428571428571,0.2142857142857143,0.7142857142857144,7,AT;BE;CY;DK;EE;LV;NL,Mixed/changed over 2010–2023,,,,,,Group comparisons confound provenance regime with country composition and are not production-method effects.
C_registry_groups,provenance_group_grid,,mixed/changed,RMC,-0.1071428571428571,0.1785714285714286,0.7142857142857144,7,AT;BE;CY;DK;EE;LV;NL,Mixed/changed over 2010–2023,,,,,,Group comparisons confound provenance regime with country composition and are not production-method effects.
