geo,disseminated_source_regime,documented_estimation_method,documented_coverage,official_evidence_source,official_evidence_locator,official_evidence_basis,confidence,unresolved_year_level_boundary,access_date,years_n,flag_i_n,blank_n,other_flag_n
AT,Mixed/changed over 2010–2023,Mixed or changed; documented national method for part of coverage and/or Eurostat estimate route for other years,2008–2022 reported; method changed in 2025,https://ec.europa.eu/eurostat/cache/metadata/EN/env_ac_mfa_simsmf_at.htm,"National SIMS metadata: Table I reported-year coverage and available compilation-method statement; central env_ac_rme metadata sections 3.2, 15.1 and 18.5 for mixed reporting/Eurostat-estimate context",Table I reported through 2022; national metadata documents a 2025 switch from the Austrian national tool to Eurostat’s country RME tool and revision of the whole reported series. Exact 2023 source route is not separately identified in public national metadata.,MEDIUM,Exact year-by-year production provenance is not asserted where public metadata do not identify it.,2026-08-12,14,0,14,0
BE,Mixed/changed over 2010–2023,"Mixed or changed; Eurostat country RME tool documented for part of coverage, with other years not fully specified",2008–2020 reported with Eurostat tool; later years mixed,https://ec.europa.eu/eurostat/cache/metadata/EN/env_ac_mfa_simsmf_be.htm,"National SIMS metadata: Table I reported-year coverage and available compilation-method statement; central env_ac_rme metadata sections 3.2, 15.1 and 18.5 for mixed reporting/Eurostat-estimate context","Table I is documented through 2020 and produced with Eurostat’s country RME tool; later disseminated years require a different source route, but exact year-by-year handoff is not fully specified publicly.",MEDIUM,Exact year-by-year production provenance is not asserted where public metadata do not identify it.,2026-08-12,14,3,11,0
BG,Eurostat-estimated,Python country RME tool (Eurostat estimate route),Table I not reported,https://ec.europa.eu/eurostat/cache/metadata/EN/env_ac_mfa_simsmf_bg.htm,National SIMS metadata: Table I non-reporting/compilation statement; central env_ac_rme metadata sections 3.2 and 18.5 for Eurostat non-reporter estimates,National metadata do not report Table I; central Eurostat metadata state that non-reporting countries receive Eurostat estimates from the Python country RME tool.,HIGH,,2026-08-12,14,14,0,0
CY,Mixed/changed over 2010–2023,"Mixed or changed; Eurostat country RME tool documented for part of coverage, with other years not fully specified",2008–2022 reported with Eurostat tool,https://ec.europa.eu/eurostat/cache/metadata/EN/env_ac_mfa_simsmf_cy.htm,"National SIMS metadata: Table I reported-year coverage and available compilation-method statement; central env_ac_rme metadata sections 3.2, 15.1 and 18.5 for mixed reporting/Eurostat-estimate context",National Table I is documented through 2022 using the Eurostat country RME tool; the 2023 disseminated observation therefore cannot be assigned to the same country-reported route from public national metadata alone.,MEDIUM,Exact year-by-year production provenance is not asserted where public metadata do not identify it.,2026-08-12,14,0,14,0
CZ,Country-reported,Eurostat country RME tool,2008–2023 country-reported; Eurostat tool,https://ec.europa.eu/eurostat/cache/metadata/EN/env_ac_mfa_simsmf_cz.htm,National SIMS metadata: Table I coverage and country-RME-tool compilation-method statement; central env_ac_rme metadata sections 15.1 and 18.5,National metadata document Table I through 2023 and use of Eurostat’s country RME tool without a separate own-model route.,HIGH,,2026-08-12,14,0,14,0
DE,Country-reported,Country-specific model,2010–2023 country-reported; national model/data route,https://ec.europa.eu/eurostat/cache/metadata/EN/env_ac_mfa_simsmf_de.htm,National SIMS metadata: Table I coverage and country-specific compilation-method description; central env_ac_rme metadata section 15.1 on geographical comparability,National metadata document Table I for 2010–2023 using annually updated national input-output tables and additional German material data/methodology rather than the standard country-tool route.,MEDIUM,Country-specific implementation detail beyond the stated category remains unresolved where not explicitly documented.,2026-08-12,14,0,14,0
DK,Mixed/changed over 2010–2023,"Mixed or changed; Eurostat country RME tool documented for part of coverage, with other years not fully specified",reported only through 2019; historical method detail unresolved; later Eurostat route,https://ec.europa.eu/eurostat/cache/metadata/EN/env_ac_mfa_simsmf_dk.htm,"National SIMS metadata: Table I reported-year coverage and available compilation-method statement; central env_ac_rme metadata sections 3.2, 15.1 and 18.5 for mixed reporting/Eurostat-estimate context","National metadata document Table I only through 2019. The reported historical method description is not sufficient to classify every 2010–2019 observation as the standard Eurostat tool, while later disseminated years require Eurostat estimation.",MEDIUM,Exact year-by-year production provenance is not asserted where public metadata do not identify it.,2026-08-12,14,0,14,0
EE,Mixed/changed over 2010–2023,Not fully specified for all years,2008–2022 reported/Eurostat-tool based; 2023 different route,https://ec.europa.eu/eurostat/cache/metadata/EN/env_ac_mfa_simsmf_ee.htm,"National SIMS metadata: Table I reported-year coverage and available compilation-method statement; central env_ac_rme metadata sections 3.2, 15.1 and 18.5 for mixed reporting/Eurostat-estimate context",National metadata document Table I through 2022 with extensive use of Eurostat-provided country-tool inputs plus national trade data; 2023 is outside documented national reporting coverage.,MEDIUM,Exact year-by-year production provenance is not asserted where public metadata do not identify it.,2026-08-12,14,1,13,0
EL,Eurostat-estimated,Python country RME tool (Eurostat estimate route),Table I not reported,https://ec.europa.eu/eurostat/cache/metadata/EN/env_ac_mfa_simsmf_el.htm,National SIMS metadata: Table I non-reporting/compilation statement; central env_ac_rme metadata sections 3.2 and 18.5 for Eurostat non-reporter estimates,Greek national metadata do not document country Table I reporting for the relevant period; central Eurostat metadata specify Python-tool estimates for non-reporters.,HIGH,,2026-08-12,14,14,0,0
ES,Eurostat-estimated,Python country RME tool (Eurostat estimate route),Table I not reported in national metadata,https://ec.europa.eu/eurostat/cache/metadata/EN/env_ac_mfa_simsmf_es.htm,National SIMS metadata: Table I non-reporting/compilation statement; central env_ac_rme metadata sections 3.2 and 18.5 for Eurostat non-reporter estimates,National metadata do not document a country Table I reporting series for the relevant period; central Eurostat metadata specify Python-tool estimates for non-reporters.,MEDIUM,Country-specific implementation detail beyond the stated category remains unresolved where not explicitly documented.,2026-08-12,14,14,0,0
FI,Eurostat-estimated,Python country RME tool (Eurostat estimate route),Table I not reported,https://ec.europa.eu/eurostat/cache/metadata/EN/env_ac_mfa_simsmf_fi.htm,National SIMS metadata: Table I non-reporting/compilation statement; central env_ac_rme metadata sections 3.2 and 18.5 for Eurostat non-reporter estimates,National metadata provide no country Table I series for the relevant period; central Eurostat metadata specify Python-tool estimates for non-reporters.,HIGH,,2026-08-12,14,14,0,0
FR,Country-reported,Eurostat country RME tool,2008–2023 country-reported; Eurostat tool,https://ec.europa.eu/eurostat/cache/metadata/EN/env_ac_mfa_simsmf_fr.htm,National SIMS metadata: Table I coverage and country-RME-tool compilation-method statement; central env_ac_rme metadata sections 15.1 and 18.5,National metadata document Table I for 2008–2023 and use of the Eurostat country RME tool.,HIGH,,2026-08-12,14,0,14,0
HR,Eurostat-estimated,Python country RME tool (Eurostat estimate route),Eurostat-provided Table I,https://ec.europa.eu/eurostat/cache/metadata/EN/env_ac_mfa_simsmf_hr.htm,National SIMS metadata: Table I non-reporting/compilation statement; central env_ac_rme metadata sections 3.2 and 18.5 for Eurostat non-reporter estimates,National metadata describe Table I availability and explicitly state that Eurostat provides the Table I estimates; central metadata identify the Python country RME tool for Eurostat country estimates.,MEDIUM,Country-specific implementation detail beyond the stated category remains unresolved where not explicitly documented.,2026-08-12,14,0,14,0
HU,Eurostat-estimated,Python country RME tool (Eurostat estimate route),Table I not reported,https://ec.europa.eu/eurostat/cache/metadata/EN/env_ac_mfa_simsmf_hu.htm,National SIMS metadata: Table I non-reporting/compilation statement; central env_ac_rme metadata sections 3.2 and 18.5 for Eurostat non-reporter estimates,National metadata explicitly indicate that Hungary has not reported Table I; central Eurostat metadata specify Python-tool estimates for non-reporters.,HIGH,,2026-08-12,14,14,0,0
IE,Eurostat-estimated,Python country RME tool (Eurostat estimate route),Table I not compiled/reported,https://ec.europa.eu/eurostat/cache/metadata/EN/env_ac_mfa_simsmf_ie.htm,National SIMS metadata: Table I non-reporting/compilation statement; central env_ac_rme metadata sections 3.2 and 18.5 for Eurostat non-reporter estimates,National metadata indicate that Ireland does not compile Table I; central Eurostat metadata specify Python-tool estimates for non-reporters.,HIGH,,2026-08-12,14,14,0,0
